# TRAPPIST-1 Full System Data (7 planets)
# Generated for Habitable Zone Hunt
time_days,flux
0.000000,1.000099
0.003000,0.999972
0.006000,1.000130
0.009000,1.000305
0.012001,0.999953
0.015001,0.999953
0.018001,1.000316
0.021001,1.000153
0.024001,0.999906
0.027001,1.000109
0.030002,0.999907
0.033002,0.999907
0.036002,1.000048
0.039002,0.999617
0.042002,0.999655
0.045002,0.999888
0.048002,0.999797
0.051003,1.000063
0.054003,0.999818
0.057003,0.999718
0.060003,1.000293
0.063003,0.999955
0.066003,1.000014
0.069003,0.999715
0.072004,0.999891
0.075004,1.000022
0.078004,0.999770
0.081004,1.000075
0.084004,0.999880
0.087004,0.999942
0.090005,0.999880
0.093005,1.000370
0.096005,0.999997
0.099005,0.999788
0.102005,1.000165
0.105005,0.999756
0.108005,1.000042
0.111006,0.999608
0.114006,0.999734
0.117006,1.000039
0.120006,1.000148
0.123006,1.000034
0.126006,0.999977
0.129006,0.999940
0.132007,0.999704
0.135007,0.999856
0.138007,0.999908
0.141007,1.000211
0.144007,1.000069
0.147007,0.999647
0.150008,1.000065
0.153008,0.999923
0.156008,0.999865
0.159008,1.000122
0.162008,1.000206
0.165008,1.000186
0.168008,0.999832
0.171009,0.999938
0.174009,1.000066
0.177009,1.000195
0.180009,0.999904
0.183009,0.999963
0.186009,0.999779
0.189009,0.999761
0.192010,1.000163
0.195010,1.000271
0.198010,0.999986
0.201010,1.000201
0.204010,1.000072
0.207010,0.999871
0.210011,1.000072
0.213011,1.000308
0.216011,0.999993
0.219011,1.000313
0.222011,0.999476
0.225011,1.000164
0.228011,1.000017
0.231012,0.999940
0.234012,1.000018
0.237012,0.999602
0.240012,0.999956
0.243012,1.000071
0.246012,1.000296
0.249012,0.999896
0.252013,0.999838
0.255013,0.999900
0.258013,1.000183
0.261013,1.000066
0.264013,0.999894
0.267013,1.000103
0.270014,1.000019
0.273014,1.000194
0.276014,0.999860
0.279014,0.999934
0.282014,0.999922
0.285014,0.999707
0.288014,1.000059
0.291015,1.000052
0.294015,1.000001
0.297015,0.999953
0.300015,0.999717
0.303015,0.999916
0.306015,0.999931
0.309015,0.999840
0.312016,0.999968
0.315016,1.000081
0.318016,1.000377
0.321016,1.000035
0.324016,1.000052
0.327016,0.999985
0.330017,0.999616
0.333017,0.999995
0.336017,1.000012
0.339017,1.000493
0.342017,0.999962
0.345017,1.000060
0.348017,0.999993
0.351018,0.999766
0.354018,1.000229
0.357018,1.000150
0.360018,1.000158
0.363018,0.999818
0.366018,1.000281
0.369018,0.999720
0.372019,1.000117
0.375019,1.000438
0.378019,0.999802
0.381019,0.999887
0.384019,1.000020
0.387019,0.999899
0.390020,0.999690
0.393020,1.000014
0.396020,0.999788
0.399020,1.000095
0.402020,0.999816
0.405020,1.000310
0.408020,0.999843
0.411021,0.999936
0.414021,1.000163
0.417021,0.999754
0.420021,1.000045
0.423021,1.000261
0.426021,0.999679
0.429021,1.000037
0.432022,1.000052
0.435022,1.000156
0.438022,0.999753
0.441022,0.999736
0.444022,1.000104
0.447022,1.000059
0.450023,1.000050
0.453023,1.000069
0.456023,0.999864
0.459023,1.000046
0.462023,1.000059
0.465023,0.999857
0.468023,1.000373
0.471024,1.000095
0.474024,0.999762
0.477024,1.000131
0.480024,0.999805
0.483024,1.000157
0.486024,1.000232
0.489024,0.999836
0.492025,1.000193
0.495025,1.000083
0.498025,1.000164
0.501025,1.000379
0.504025,0.999951
0.507025,0.999849
0.510026,0.999822
0.513026,0.999837
0.516026,0.999985
0.519026,1.000068
0.522026,1.000055
0.525026,1.000165
0.528026,1.000003
0.531027,1.000291
0.534027,0.999947
0.537027,1.000544
0.540027,1.000125
0.543027,0.999829
0.546027,0.999786
0.549027,1.000096
0.552028,0.999955
0.555028,1.000143
0.558028,1.000095
0.561028,0.999985
0.564028,0.999831
0.567028,0.999697
0.570029,0.999911
0.573029,1.000171
0.576029,1.000043
0.579029,0.999751
0.582029,1.000035
0.585029,1.000077
0.588029,0.999823
0.591030,1.000031
0.594030,1.000012
0.597030,0.999771
0.600030,1.000072
0.603030,1.000112
0.606030,1.000217
0.609030,1.000211
0.612031,0.999724
0.615031,0.999812
0.618031,1.000103
0.621031,1.000103
0.624031,1.000103
0.627031,1.000771
0.630032,1.000114
0.633032,1.000227
0.636032,1.000191
0.639032,1.000130
0.642032,0.999937
0.645032,1.000152
0.648032,0.999845
0.651033,0.999953
0.654033,0.999903
0.657033,1.000016
0.660033,1.000463
0.663033,0.999627
0.666033,1.000137
0.669033,0.999677
0.672034,0.999906
0.675034,1.000218
0.678034,1.000013
0.681034,0.999784
0.684034,0.999857
0.687034,1.000136
0.690035,0.999854
0.693035,1.000043
0.696035,1.000009
0.699035,0.999870
0.702035,1.000429
0.705035,1.000127
0.708035,0.999595
0.711036,1.000037
0.714036,0.999868
0.717036,1.000170
0.720036,0.999841
0.723036,0.999977
0.726036,1.000101
0.729036,1.000173
0.732037,0.999760
0.735037,0.999933
0.738037,0.999905
0.741037,0.999869
0.744037,1.000353
0.747037,1.000081
0.750038,0.996248
0.753038,0.996684
0.756038,0.996924
0.759038,0.996706
0.762038,0.996196
0.765038,0.999903
0.768038,1.000253
0.771039,0.999858
0.774039,1.000089
0.777039,1.000155
0.780039,0.999815
0.783039,0.999988
0.786039,0.999352
0.789039,0.999795
0.792040,0.999949
0.795040,0.999750
0.798040,1.000326
0.801040,0.999714
0.804040,0.999912
0.807040,1.000026
0.810041,1.000288
0.813041,0.999713
0.816041,1.000233
0.819041,1.000002
0.822041,0.999804
0.825041,1.000092
0.828041,1.000040
0.831042,0.999880
0.834042,1.000014
0.837042,0.999923
0.840042,1.000023
0.843042,1.000132
0.846042,1.000317
0.849042,0.999752
0.852043,1.000427
0.855043,0.999610
0.858043,0.999970
0.861043,1.000118
0.864043,1.000056
0.867043,0.999875
0.870044,0.999958
0.873044,0.999901
0.876044,0.999882
0.879044,1.000170
0.882044,1.000071
0.885044,0.999861
0.888044,1.000180
0.891045,1.000061
0.894045,1.000163
0.897045,1.000126
0.900045,0.999834
0.903045,0.999888
0.906045,1.000149
0.909045,1.000122
0.912046,0.999996
0.915046,1.000023
0.918046,1.000256
0.921046,0.999882
0.924046,1.000109
0.927046,0.999960
0.930047,0.999956
0.933047,1.000220
0.936047,1.000165
0.939047,1.000163
0.942047,1.000261
0.945047,1.000004
0.948047,1.000136
0.951048,0.999938
0.954048,1.000065
0.957048,0.999974
0.960048,1.000019
0.963048,1.000119
0.966048,0.999836
0.969048,1.000418
0.972049,0.999799
0.975049,0.999757
0.978049,1.000232
0.981049,1.000158
0.984049,1.000125
0.987049,1.000126
0.990050,0.999998
0.993050,0.999821
0.996050,1.000015
0.999050,0.999865
1.002050,1.000195
1.005050,0.999971
1.008050,0.999835
1.011051,0.999936
1.014051,1.000083
1.017051,0.999887
1.020051,0.999836
1.023051,1.000049
1.026051,1.000049
1.029051,0.999899
1.032052,0.999906
1.035052,1.000046
1.038052,0.999710
1.041052,0.999719
1.044052,0.999856
1.047052,0.999957
1.050053,1.000062
1.053053,1.000295
1.056053,1.000172
1.059053,0.999968
1.062053,0.999996
1.065053,0.999799
1.068053,0.999996
1.071054,0.999942
1.074054,1.000065
1.077054,0.999835
1.080054,1.000104
1.083054,1.000307
1.086054,0.999978
1.089054,1.000080
1.092055,1.000138
1.095055,0.999920
1.098055,1.000045
1.101055,1.000003
1.104055,1.000020
1.107055,0.999845
1.110056,1.000005
1.113056,1.000100
1.116056,1.000290
1.119056,1.000192
1.122056,1.000431
1.125056,0.999847
1.128056,1.000174
1.131057,1.000037
1.134057,1.000438
1.137057,0.999838
1.140057,0.999832
1.143057,0.999880
1.146057,0.999575
1.149057,0.999895
1.152058,0.999848
1.155058,1.000030
1.158058,1.000068
1.161058,1.000375
1.164058,1.000190
1.167058,0.999885
1.170059,0.999820
1.173059,1.000098
1.176059,0.999736
1.179059,1.000366
1.182059,1.000236
1.185059,0.999906
1.188059,0.999657
1.191060,1.000271
1.194060,0.999977
1.197060,1.000248
1.200060,0.996481
1.203060,0.996680
1.206060,0.996801
1.209060,0.996809
1.212061,0.996710
1.215061,0.996925
1.218061,0.996586
1.221061,0.996772
1.224061,1.000024
1.227061,1.000103
1.230062,1.000142
1.233062,0.999775
1.236062,0.999693
1.239062,1.000256
1.242062,1.000066
1.245062,0.999850
1.248062,1.000310
1.251063,1.000023
1.254063,1.000236
1.257063,1.000014
1.260063,1.000412
1.263063,1.000351
1.266063,0.999950
1.269063,1.000194
1.272064,1.000129
1.275064,1.000274
1.278064,0.999807
1.281064,1.000137
1.284064,1.000212
1.287064,0.999648
1.290065,0.999763
1.293065,0.999592
1.296065,0.999946
1.299065,1.000144
1.302065,1.000300
1.305065,1.000015
1.308065,1.000326
1.311066,0.999724
1.314066,0.999659
1.317066,0.999989
1.320066,1.000077
1.323066,0.999993
1.326066,0.999587
1.329066,0.999982
1.332067,0.999739
1.335067,1.000134
1.338067,1.000073
1.341067,0.999812
1.344067,0.999897
1.347067,0.999788
1.350068,0.999987
1.353068,1.000191
1.356068,0.999803
1.359068,1.000101
1.362068,0.999894
1.365068,0.999841
1.368068,0.999979
1.371069,0.999793
1.374069,0.999889
1.377069,0.999760
1.380069,1.000393
1.383069,1.000007
1.386069,0.999860
1.389069,1.000043
1.392070,0.999978
1.395070,0.999956
1.398070,1.000123
1.401070,1.000152
1.404070,0.999894
1.407070,0.999885
1.410071,0.999945
1.413071,0.999540
1.416071,0.999697
1.419071,1.000273
1.422071,1.000329
1.425071,0.999950
1.428071,1.000115
1.431072,1.000062
1.434072,1.000616
1.437072,1.000224
1.440072,0.999974
1.443072,0.999809
1.446072,0.999679
1.449072,1.000041
1.452073,0.999849
1.455073,0.999716
1.458073,0.999871
1.461073,0.999784
1.464073,1.000337
1.467073,1.000176
1.470074,0.999998
1.473074,1.000296
1.476074,1.000015
1.479074,0.999828
1.482074,1.000305
1.485074,1.000108
1.488074,0.999793
1.491075,0.999962
1.494075,0.999825
1.497075,0.999723
1.500075,1.000185
1.503075,1.000382
1.506075,0.999720
1.509075,1.000113
1.512076,0.999870
1.515076,0.999903
1.518076,0.999882
1.521076,0.999827
1.524076,1.000010
1.527076,0.999834
1.530077,1.000054
1.533077,0.999990
1.536077,0.999952
1.539077,0.999818
1.542077,0.999885
1.545077,1.000151
1.548077,1.000100
1.551078,0.999804
1.554078,1.000020
1.557078,1.000150
1.560078,0.999666
1.563078,1.000109
1.566078,0.999867
1.569078,1.000114
1.572079,0.999847
1.575079,0.999639
1.578079,0.999674
1.581079,1.000010
1.584079,1.000052
1.587079,0.999819
1.590080,1.000128
1.593080,0.999668
1.596080,0.999987
1.599080,0.999758
1.602080,0.999870
1.605080,1.000009
1.608080,0.999828
1.611081,0.999923
1.614081,1.000201
1.617081,0.999885
1.620081,1.000167
1.623081,0.999774
1.626081,1.000106
1.629081,1.000288
1.632082,0.999506
1.635082,0.999841
1.638082,1.000115
1.641082,0.999959
1.644082,1.000074
1.647082,0.999879
1.650083,1.000017
1.653083,0.999969
1.656083,1.000234
1.659083,1.000051
1.662083,1.000068
1.665083,0.999918
1.668083,0.999902
1.671084,0.999913
1.674084,1.000079
1.677084,0.999916
1.680084,1.000058
1.683084,1.000415
1.686084,1.000174
1.689084,0.999935
1.692085,1.000240
1.695085,0.999918
1.698085,0.999592
1.701085,0.999798
1.704085,0.999626
1.707085,0.999930
1.710086,1.000004
1.713086,1.000335
1.716086,1.000065
1.719086,0.999956
1.722086,1.000166
1.725086,0.999558
1.728086,1.000047
1.731087,1.000154
1.734087,0.999704
1.737087,1.000229
1.740087,1.000068
1.743087,0.999917
1.746087,1.000127
1.749087,1.000454
1.752088,1.000036
1.755088,1.000050
1.758088,0.999908
1.761088,0.999830
1.764088,1.000166
1.767088,0.999829
1.770089,1.000014
1.773089,0.999904
1.776089,1.000096
1.779089,1.000067
1.782089,1.000208
1.785089,0.999898
1.788089,0.999946
1.791090,0.999804
1.794090,0.999911
1.797090,1.000075
1.800090,1.000151
1.803090,0.999816
1.806090,1.000174
1.809090,1.000271
1.812091,1.000083
1.815091,1.000375
1.818091,0.999845
1.821091,0.999751
1.824091,0.999644
1.827091,1.000299
1.830092,1.000131
1.833092,0.999989
1.836092,1.000056
1.839092,0.999775
1.842092,1.000489
1.845092,1.000026
1.848092,1.000022
1.851093,1.000145
1.854093,1.000096
1.857093,1.000045
1.860093,0.999842
1.863093,1.000094
1.866093,1.000376
1.869093,1.000269
1.872094,1.000319
1.875094,0.999898
1.878094,0.999802
1.881094,0.999975
1.884094,1.000011
1.887094,1.000219
1.890095,0.999662
1.893095,1.000306
1.896095,0.999968
1.899095,0.999915
1.902095,0.999798
1.905095,0.999669
1.908095,1.000165
1.911096,1.000015
1.914096,0.999742
1.917096,0.999741
1.920096,0.999933
1.923096,1.000334
1.926096,0.999948
1.929096,0.999699
1.932097,0.999951
1.935097,0.999945
1.938097,0.999461
1.941097,0.999989
1.944097,0.999954
1.947097,1.000139
1.950098,1.000370
1.953098,1.000225
1.956098,0.999946
1.959098,0.999779
