# # Transit Data: size=0.0185, period=290, distance=40
# time_days,flux
0.000000000000000000e+00,9.998914369396699753e-01
3.001500750375187820e-01,1.000099734544658281e+00
6.003001500750375641e-01,1.000028297849805181e+00
9.004502251125563461e-01,9.998493705286082278e-01
1.200600300150075128e+00,9.999421399748031902e-01
1.500750375187593910e+00,1.000165143653709787e+00
1.800900450225112692e+00,9.997573320756606430e-01
2.101050525262631474e+00,9.999571087371144085e-01
2.401200600300150256e+00,1.000126593625870530e+00
2.701350675337669038e+00,9.999133259597734469e-01
3.001500750375187820e+00,9.999321113848378406e-01
3.301650825412706602e+00,9.999905291031062626e-01
3.601800900450225384e+00,1.000149138962612483e+00
3.901950975487744167e+00,9.999361098003315407e-01
4.202101050525262949e+00,9.999556018040354211e-01
4.502251125562781731e+00,9.999565648724381139e-01
4.802401200600300513e+00,1.000220593008272596e+00
5.102551275637819295e+00,1.000218678608897349e+00
5.402701350675338077e+00,1.000100405389787950e+00
5.702851425712856859e+00,1.000038618639917498e+00
6.003001500750375641e+00,1.000073736857589601e+00
6.303151575787894423e+00,1.000149073202815098e+00
6.603301650825413205e+00,9.999064166131597098e-01
6.903451725862931987e+00,1.000117582904478164e+00
7.203601800900450769e+00,9.998746119332251325e-01
7.503751875937969551e+00,9.999362248497546402e-01
7.803901950975488333e+00,1.000090710519579984e+00
8.104052026013008003e+00,9.998571319299773830e-01
8.404202101050525897e+00,9.999859931279810876e-01
8.704352176088043791e+00,9.999138245104139955e-01
9.004502251125563461e+00,9.999744380629469465e-01
9.304652326163083131e+00,9.997201410894539508e-01
9.604802401200601025e+00,9.998228466895490163e-01
9.904952476238118919e+00,9.999300122765402143e-01
1.020510255127563859e+01,1.000092746243175901e+00
1.050525262631315826e+01,9.999826364317210281e-01
1.080540270135067615e+01,1.000000284591589628e+00
1.110555277638819405e+01,1.000068822271110269e+00
1.140570285142571372e+01,9.999120463656990809e-01
1.170585292646323339e+01,1.000028362732380716e+00
1.200600300150075128e+01,9.999194633481934824e-01
1.230615307653826918e+01,9.998272330505879602e-01
1.260630315157578885e+01,9.999609100206244827e-01
1.290645322661330852e+01,1.000057380586240496e+00
1.320660330165082641e+01,1.000033858905099882e+00
1.350675337668834430e+01,9.999988169505521496e-01
1.380690345172586397e+01,1.000239236526593745e+00
1.410705352676338364e+01,1.000041291216030803e+00
1.440720360180090154e+01,1.000097873600593656e+00
1.470735367683841943e+01,1.000223814333849770e+00
1.500750375187593910e+01,9.998705914676838669e-01
1.530765382691345877e+01,9.998961211789795245e-01
1.560780390195097667e+01,1.000174371222512404e+00
1.590795397698849456e+01,9.999201937264758921e-01
1.620810405202601601e+01,1.000002968323030261e+00
1.650825412706353390e+01,1.000106931596942417e+00
1.680840420210105179e+01,1.000089070639129218e+00
1.710855427713856969e+01,1.000175488618198161e+00
1.740870435217608758e+01,1.000149564413703285e+00
1.770885442721360903e+01,1.000106939266970585e+00
1.800900450225112692e+01,9.999227291285752717e-01
1.830915457728864482e+01,1.000079486266779227e+00
1.860930465232616626e+01,1.000031427199450595e+00
1.890945472736368416e+01,9.998673734540060032e-01
1.920960480240120205e+01,1.000141729904647780e+00
1.950975487743871994e+01,1.000080723653457904e+00
1.980990495247623784e+01,1.000004549008063126e+00
2.011005502751375928e+01,9.999766907939016125e-01
2.041020510255127718e+01,9.998801698855299680e-01
2.071035517758879507e+01,1.000019952407355861e+00
